type,from,to,detail,status,confidence,verification,url_count,source_1,source_2,source_3,more_sources,last_updated
invested_in,AGC Equity Partners,Atmosphere Data Centers,Strategic growth investment announced Aug 2025.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://atmosphere-dc.com/atmosphere-data-centers-secures-strategic-growth-investment-from-agc-equity-partners/,https://www.prnewswire.com/news-releases/atmosphere-data-centers-secures-strategic-growth-investment-from-agc-equity-partners-302532722.html,https://www.datacenterdynamics.com/en/news/atmosphere-dc-secures-investment-from-agc-equity-partners/,,2026-09-05
invested_in,AI Infrastructure Partnership (AIP),Aligned Data Centers,"~$40B EV (+$5B growth capital) acquisition of Aligned from Macquarie by the AI Infrastructure Partnership (BlackRock/GIP, MGX, Microsoft, Nvidia) with xAI, KIA, Temasek; announced 15 Oct 2025, closed 21 Jul 2026.",completed,high,links from original research round,2,https://www.macquarie.com/us/en/about/news/2026/macquarie-asset-management-announces-successful-close-of-aligned-data-centers-transaction.html,https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/,,,2026-09-05
invested_in,Abu Dhabi Investment Authority,Vantage,"$9.2B equity investment led by DigitalBridge and Silver Lake completed June 2024; additional 2024 capital from GIC, ADIA, AustralianSuper, MEAG.",,high,links from original research round,1,https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake,,,,2026-09-05
invested_in,Actis (part of General Atlantic),TERRANOVA,Launched TERRANOVA (Dec 2025) as a $1.5B Latin American hyperscale data center platform.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.act.is/2025/12/02/actis-launches-new-latin-american-hyperscale-data-center-platform-terranova-to-accelerate-latin-americas-digital-expansion/,https://irei.com/news/actis-launches-new-hyperscale-data-center-platform-in-latin-america/,https://www.datacenterdynamics.com/en/news/terranova-launches-in-mexico-with-its-first-data-center-campus/,,2026-09-05
invested_in,Affinius Capital,Corscale Data Centers,"Founded by Patrinely Group; both Corscale and Patrinely are subsidiaries of Crimson Interests LLC, majority-held by Affinius Capital. Received (not owned by) Blue Owl Capital project financing.",,medium,links from original research round,1,https://affiniuscapital.com/investment-management/data-centers/,,,,2026-09-05
invested_in,Allianz Capital Partners,Yondr,Acquired from Cathexis Holdings by DigitalBridge and La Caisse; Allianz Capital Partners later took a minority stake.,,high,links from original research round,1,https://www.lacaisse.com/en/news/pressreleases/digitalbridge-caisse-complete-acquisition-yondr-group,,,,2026-09-05
invested_in,American Tower Corporation,CoreSite,"Wholly owned subsidiary of American Tower (public company), acquired for ~$10.4B, closed Dec 2021 -- a strategic acquisition, not a PE/infra fund.",,high,links from original research round,1,https://www.coresite.com/news/american-tower-completes-acquisition-coresite-realty-corporation,,,,2026-09-05
invested_in,Ankaa Ventures,Sepia Infrastructure,Co-led Sepia Infrastructure's first fundraising round (Oct 2024).,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.ankaa.ventures/post/ankaa-ventures-leaders-in-sustainable-tech-investment-and-innovation,https://www.datacenterdynamics.com/en/news/data-center-land-and-power-provider-sepia-infrastructure-announces-first-fundraising-round/,https://www.jonesday.com/en/practices/experience/2024/10/ankaa-ventures-leads-sepia-infrastructure-first-fundraising,,2026-09-05
invested_in,Antin Infrastructure Partners,NorthC Datacenters,"Agreed acquisition of NorthC from DWS Group (~€2B, Antin's Flagship Fund V). — Re-sourcing note (2026-09-08): Terms not disclosed; Flagship Fund V (EUR10.2B) confirmed, expected close H1 2026 confirmed.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.antin-ip.com/media/our-news/antin-to-acquire-northc-a-leading-european-enterprise-colocation-data-centre-platform-from-dws,https://www.northcdatacenters.com/en/news/antin-to-acquire-northc-from-dws/,https://www.businesswire.com/news/home/20251210756103/en,,2026-09-05
invested_in,Antin Infrastructure Partners,Pulsant,Current owner (since 2021) of the UK colocation/cloud operator.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.antin-ip.com/media/our-news/antin-infrastructure-partners-acquires-pulsant,https://www.pulsant.com/knowledge-hub/announcements/antin-infrastructure-partners-acquire-pulsant-from-oak-hill-capital-and-scottish-equity-partners,https://www.datacenterdynamics.com/en/news/antin-infrastructure-partners-acquires-pulsant/,,2026-09-05
invested_in,Apollo Global Management,Stream Data Centers,Apollo funds acquired a majority stake from Stream Realty Partners (closed Nov 2025); Principal took a minority interest.,,high,links from original research round,1,https://ir.apollo.com/news-events/press-releases/detail/587/apollo-funds-complete-acquisition-of-stream-data-centers,,,,2026-09-05
invested_in,Apollo Global Management,Vaultica Data Centers,"Apollo acquired STACK Infrastructure's pan-European colocation business from Blue Owl (carve-out announced April 2025), rebranded Vaultica.",,high,links from original research round,1,https://www.apollo.com/insights-news/pressreleases/2025/04/apollo-funds-to-acquire-pan-european-highly-interconnected-colocation-data-center-business-from-stack-infrastructure-a-portfolio-company-of-blue-owl-digital-infrastructure-3069871,,,,2026-09-05
invested_in,Ardian,DataBank,"Originally acquired by DigitalBridge (2016); recapitalized 2022 -- Swiss Life, EDF Invest, Northleaf, Ardian bought ~35% for $1.5B; DigitalBridge reduced its stake further via a Jan 2025 raise.",,high,links from original research round,1,https://www.digitalbridge.com/news/2022-06-16-digitalbridge-announces-recapitalization-of-databank,,,,2026-09-05
invested_in,Ardian,Verne,"Ardian acquired Verne Global from Digital 9 Infrastructure plc (~2023, up to $575M). Digital 9 had bought it from earlier owners (Wellcome Trust, Stefnir, Novator Partners, General Catalyst) in Sept 2021.",,high,links from original research round,1,https://www.ardian.com/news-insights/press-releases/ardian-acquires-leading-data-center-platform-verne-global-digital-9,,,,2026-09-05
invested_in,Areim,VGP,"50:50 'Saga' JV with VGP (€1.5B GAV target; third closing Nov 2025). — Re-sourcing note (2026-09-08): SAGA JV is a logistics/industrial real estate JV (17 logistics buildings in the third closing), not a data center investment.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.vgpparks.eu/investor-news/vgp-and-areim-agree-on-third-closing-in-5050-saga-joint-venture/,https://www.globenewswire.com/news-release/2025/11/28/3196003/0/en/VGP-and-Areim-Agree-on-Third-Closing-in-50-50-SAGA-Joint-Venture.html,https://www.areim.se/newsroom/areims-and-vgps-joint-venture-announces-agreement-for-its-third-acquisition-in-europe/,,2026-09-05
